S0,L,ms,mv,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
31.159,43.5,0.98,0.86500015,1.04974,1.00937,0.971587,0.933543,0.895236,0.860123,0.828202,0.797841,0.769038,0.742806,1.40493,1.37751,1.35058,1.32147,1.29021,1.25781,1.2243,1.19163,1.15983,1.12686,1.19434,1.21192,1.23344,1.25778,1.28492,1.31206,1.33919,1.36544,1.39081,1.42918,1.47076,1.50127,1.51709,0.00169825,0.00183075,0.00197225,0.002117,0.002265,0.00242725,0.00260375,0.002796,0.003004,0.00324,0.00214625,0.002353,0.002573,0.0028035,0.0030445,0.00329925,0.00356775,0.003854,0.004158,0.00448225,0.0014783,0.0015686,0.00175557,0.00199321,0.00228153,0.00261454,0.00299226,0.0034163,0.00388665,0.0047132,0.00600829,0.00758672,0.00898081
35.073,56.1,0.7,0.874999781,1.10146,1.07655,1.05356,1.03265,1.01383,0.995491,0.977648,0.95974,0.941767,0.928342,1.46,1.46512,1.476,1.48391,1.48885,1.49423,1.50005,1.51005,1.52425,1.53633,1.17779,1.19134,1.20964,1.23401,1.26444,1.29513,1.32608,1.36158,1.40161,1.4532,1.51812,1.59659,1.65511,0.00186675,0.0020515,0.0022565,0.0024855,0.0027385,0.00302,0.00333,0.003673,0.004049,0.0045,0.00236375,0.002668,0.003018,0.0034055,0.0038305,0.00430975,0.00484325,0.0054735,0.0062005,0.0070255,0.00155663,0.0016348,0.00181482,0.00205576,0.0023576,0.00271148,0.00311739,0.00360118,0.00416282,0.00514327,0.00676129,0.00896646,0.0110487
32.395,66.9,0.86,0.854999997,1.03387,0.999617,0.967117,0.937034,0.909368,0.88484,0.863449,0.842654,0.822455,0.805631,1.37691,1.36034,1.34682,1.33146,1.31428,1.2995,1.28711,1.27224,1.25487,1.24206,1.18462,1.20281,1.22636,1.25178,1.27908,1.30598,1.33249,1.36163,1.39341,1.43365,1.48005,1.51807,1.54192,0.0017245,0.001867,0.002019,0.00218625,0.00236875,0.0025735,0.0028005,0.00304875,0.00331825,0.00362625,0.00217025,0.00239925,0.00265375,0.00292275,0.00320625,0.00352925,0.00389175,0.00427825,0.00468875,0.00516625,0.00152451,0.00161443,0.00180679,0.00205087,0.00234667,0.00268606,0.00306905,0.0035118,0.00401432,0.00487219,0.0062451,0.00794452,0.00946792
28.275,86.7,0.972,1.095000509,0.979704,0.948603,0.921646,0.900123,0.884032,0.867298,0.849921,0.837539,0.830154,0.821927,1.29187,1.27633,1.26373,1.25524,1.25084,1.24622,1.24137,1.23869,1.23817,1.23582,1.17578,1.19279,1.21577,1.23993,1.26528,1.29176,1.31937,1.34603,1.37173,1.405,1.4491,1.48531,1.50366,0.001609,0.00174425,0.00189475,0.0020665,0.0022595,0.00246925,0.00269575,0.002963,0.003271,0.00361025,0.00200825,0.00221725,0.00244775,0.00270975,0.00300325,0.0033285,0.0036855,0.00409075,0.00454425,0.00504425,0.00150577,0.00158926,0.00177469,0.00200909,0.00229248,0.00262103,0.00299473,0.00341652,0.00388638,0.00468878,0.00599276,0.00760304,0.00902788
27.657,79.5,0.612,0.975000093,1.02625,0.998031,0.974097,0.951106,0.929057,0.908939,0.89075,0.876159,0.865163,0.855486,1.32474,1.31925,1.31962,1.32045,1.32175,1.32643,1.33447,1.34221,1.34966,1.36205,1.1705,1.17938,1.19465,1.21375,1.23669,1.26262,1.29155,1.32245,1.35531,1.40611,1.47931,1.54623,1.5924,0.00178175,0.0019475,0.0021365,0.002348,0.002582,0.00285,0.003152,0.003508,0.003918,0.004394,0.0022055,0.00246825,0.00277075,0.003116,0.003504,0.00395725,0.00447575,0.005071,0.005743,0.006558,0.00163183,0.0016981,0.00186869,0.00209515,0.0023775,0.00271832,0.00311759,0.00358738,0.00412769,0.0051213,0.00683362,0.00908361,0.0112354
26.009,95.7,0.996,0.704999827,0.896872,0.843576,0.795678,0.750543,0.708171,0.669715,0.635173,0.603506,0.574715,0.546634,1.16422,1.10768,1.05645,1.00644,0.957631,0.912212,0.870179,0.827051,0.782827,0.742548,1.18083,1.20021,1.22109,1.24272,1.26508,1.28378,1.29883,1.3137,1.32841,1.3471,1.36635,1.36596,1.35846,0.001366,0.00141725,0.00147375,0.00153225,0.00159275,0.00166125,0.00173775,0.0018215,0.0019125,0.002009,0.0016385,0.00171125,0.00178975,0.001869,0.001949,0.002036,0.00213,0.0022205,0.0023075,0.002405,0.00150079,0.00158447,0.00174913,0.00194713,0.00217848,0.00243166,0.00270667,0.00301261,0.00334948,0.0039201,0.00480762,0.0058132,0.00668087
30.747,63.3,0.716,0.915000109,1.05031,1.02193,0.995669,0.971929,0.95071,0.931251,0.913552,0.895698,0.877688,0.868732,1.38312,1.37743,1.37411,1.37388,1.37671,1.37722,1.37539,1.37476,1.37531,1.37871,1.17746,1.1918,1.21138,1.23412,1.26001,1.28781,1.31752,1.34849,1.38073,1.43139,1.4926,1.5514,1.58703,0.0018015,0.0019695,0.0021545,0.00236075,0.00258825,0.0028435,0.0031265,0.00344125,0.00378775,0.004224,0.00225775,0.00252375,0.00282125,0.003163,0.003549,0.003974,0.004438,0.004967,0.005561,0.00625175,0.00157597,0.00165617,0.00184087,0.00208089,0.00237622,0.00272594,0.00313004,0.00359856,0.00413149,0.00509708,0.00666516,0.00870699,0.0105537
28.069,41.7,0.884,0.904999964,1.0329,0.997779,0.964651,0.933931,0.905616,0.878297,0.851974,0.831785,0.817731,0.799174,1.36706,1.347,1.3294,1.31049,1.29028,1.27409,1.2619,1.24937,1.23649,1.22144,1.18924,1.20515,1.22379,1.24655,1.27343,1.29931,1.32419,1.3507,1.37884,1.41448,1.46659,1.50719,1.52887,0.00171325,0.001856,0.002008,0.0021735,0.0023525,0.002548,0.00276,0.0030125,0.0033055,0.00360475,0.00214375,0.00236525,0.00260775,0.00286725,0.00314375,0.0034575,0.0038085,0.0041975,0.0046245,0.0050805,0.00151441,0.00160092,0.00178486,0.00202334,0.00231634,0.00265319,0.0030339,0.00346877,0.00395782,0.0047951,0.00618408,0.00788763,0.00941084
31.365,72.3,0.692,0.694999998,1.00218,0.964348,0.929916,0.897819,0.868056,0.840774,0.815973,0.79516,0.778338,0.760552,1.32694,1.30316,1.28071,1.25993,1.24083,1.22128,1.20128,1.18154,1.16206,1.14418,1.18346,1.20058,1.22235,1.24554,1.27018,1.29664,1.32492,1.35203,1.37795,1.41704,1.46283,1.48958,1.50471,0.00172425,0.00185375,0.00199525,0.00215025,0.00231875,0.0025075,0.0027165,0.0029605,0.0032395,0.00354,0.00215275,0.00235825,0.00258275,0.00283,0.0031,0.00339325,0.00370975,0.00406375,0.00445525,0.004892,0.00162287,0.0017057,0.00189339,0.0021317,0.00242065,0.00275872,0.00314592,0.00358375,0.00407223,0.00493759,0.0063239,0.00800652,0.00953556
29.305,97.5,0.732,0.605000126,0.915688,0.871781,0.832916,0.797759,0.76631,0.738013,0.712867,0.689244,0.667143,0.648419,1.20464,1.16136,1.12108,1.08362,1.04899,1.0168,0.987073,0.95813,0.929976,0.902373,1.18103,1.20273,1.22669,1.25103,1.27574,1.2975,1.31631,1.33263,1.34645,1.36392,1.38138,1.39214,1.39149,0.00149625,0.0015765,0.0016655,0.00176425,0.00187275,0.0019955,0.0021325,0.00228175,0.00244325,0.00263175,0.00185225,0.0019695,0.0020945,0.002231,0.002379,0.0025405,0.0027155,0.0029055,0.0031105,0.00333175,0.00161798,0.00170022,0.00187747,0.00209629,0.00235667,0.00264665,0.00296624,0.00331676,0.00369823,0.0043493,0.00536537,0.00659454,0.00764712
