AmountOfGivenCredit,Gender,Education,MaritalStatus,Age,RepaymentStatus,AmountOfBillStatement,AmountOfPreviousPayment,Outcome
20000,Female,University,Married,24,2,3913,0,1
120000,Female,University,Single,26,-1,2682,0,1
90000,Female,University,Single,34,0,29239,1518,0
50000,Female,University,Married,37,0,46990,2000,0
50000,Male,University,Married,57,-1,8617,2000,0
50000,Male,Graduate School,Single,37,0,64400,2500,0
500000,Male,Graduate School,Single,29,0,367965,55000,0
100000,Female,University,Single,23,0,11876,380,0
140000,Female,High School,Married,28,0,11285,3329,0
20000,Male,High School,Single,35,-2,0,0,0
200000,Female,High School,Single,34,0,11073,2306,0
260000,Female,Graduate School,Single,51,-1,12261,21818,0
630000,Female,University,Single,41,-1,12137,1000,0
70000,Male,University,Single,30,1,65802,3200,1
250000,Male,Graduate School,Single,29,0,70887,3000,0
50000,Female,High School,Others,23,1,50614,0,0
20000,Male,Graduate School,Single,24,0,15376,3200,1
320000,Male,Graduate School,Married,49,0,253286,10358,0
360000,Female,Graduate School,Married,49,1,0,0,0
180000,Female,Graduate School,Single,29,1,0,0,0
130000,Female,High School,Single,39,0,38358,3000,0
120000,Female,University,Married,39,-1,316,316,1
70000,Female,University,Single,26,2,41087,2007,1
450000,Female,Graduate School,Married,40,-2,5512,19428,1
90000,Male,Graduate School,Single,23,0,4744,5757,0
50000,Male,High School,Single,23,0,47620,1973,0
60000,Male,Graduate School,Single,27,1,-109,0,1
50000,Female,High School,Single,30,0,22541,1300,0
50000,Female,High School,Married,47,-1,650,3415,0
50000,Male,Graduate School,Single,26,0,15329,1500,0
230000,Female,Graduate School,Single,27,-1,16646,17270,0
50000,Male,University,Single,33,2,30518,1718,1
100000,Male,Graduate School,Single,32,0,93036,3023,0
500000,Female,University,Married,54,-2,10929,4152,0
500000,Male,Graduate School,Married,58,-2,13709,5006,0
160000,Male,Graduate School,Single,30,-1,30265,131,0
280000,Male,University,Married,40,0,186503,8026,0
